"","SAISON","USN","TOTAL_COUNT","TOT","prop"
"1","Hivernage","USN01",215.509433962264,8971.18942695608,0.024022392539691
"2","Hivernage","USN02",39.1777777777778,8971.18942695608,0.00436706616182452
"3","Hivernage","USN03",11.2702702702703,8971.18942695608,0.00125627380427461
"4","Hivernage","USN04",1059.26923076923,8971.18942695608,0.118074558495711
"5","Hivernage","USN05",3979.39622641509,8971.18942695608,0.443575097685269
"6","Hivernage","USN06",106,8971.18942695608,0.0118156015836092
"7","Hivernage","USN07",94.7547169811321,8971.18942695608,0.0105621130567613
"8","Hivernage","USN08",101.038461538462,8971.18942695608,0.0112625491147102
"9","Hivernage","USN12",117.387755102041,8971.18942695608,0.01308497118
"10","Hivernage","USN13",1604.39622641509,8971.18942695608,0.178838741448743
"11","Hivernage","USN14",334.169811320755,8971.18942695608,0.0372492203003385
"12","Hivernage","USN15",192.018867924528,8971.18942695608,0.0214039475465273
"13","Hivernage","USN16",127.209302325581,8971.18942695608,0.0141797588113958
"14","Hivernage","USN17",770.153846153846,8971.18942695608,0.0858474623041328
"15","Hivernage","USN18",219.4375,8971.18942695608,0.0244602459670117
"16","Migration","USN01",210.714285714286,6459.24190430424,0.0326221387642832
"17","Migration","USN02",49.8762886597938,6459.24190430424,0.00772169387657672
"18","Migration","USN03",21.8444444444444,6459.24190430424,0.00338188982052027
"19","Migration","USN04",738.373913043478,6459.24190430424,0.114312782209232
"20","Migration","USN05",2048.30508474576,6459.24190430424,0.317112304368232
"21","Migration","USN06",92.5510204081633,6459.24190430424,0.0143284648228595
"22","Migration","USN07",224.104347826087,6459.24190430424,0.0346951470693102
"23","Migration","USN08",156.09649122807,6459.24190430424,0.0241663795133686
"24","Migration","USN12",78.625,6459.24190430424,0.012172481099927
"25","Migration","USN13",1225.0593220339,6459.24190430424,0.189659922972935
"26","Migration","USN14",233.738738738739,6459.24190430424,0.036186713890214
"27","Migration","USN15",108.654867256637,6459.24190430424,0.0168216129487631
"28","Migration","USN16",57.9615384615385,6459.24190430424,0.00897342742697323
"29","Migration","USN17",781.050847457627,6459.24190430424,0.120919894165468
"30","Migration","USN18",432.285714285714,6459.24190430424,0.0669251470513362
"31","Repro","USN01",40.8148148148148,2478.7221794728,0.0164660707653392
"32","Repro","USN02",7.96875,2478.7221794728,0.00321486210354356
"33","Repro","USN03",10.35,2478.7221794728,0.00417553854389658
"34","Repro","USN04",335.145454545455,2478.7221794728,0.135208962634424
"35","Repro","USN05",488.75,2478.7221794728,0.197178209017338
"36","Repro","USN06",115.938775510204,2478.7221794728,0.0467736063647372
"37","Repro","USN07",48.9607843137255,2478.7221794728,0.0197524291827408
"38","Repro","USN08",65.3518518518518,2478.7221794728,0.0263651378089301
"39","Repro","USN12",39.3148148148148,2478.7221794728,0.015860920251731
"40","Repro","USN13",474.4,2478.7221794728,0.191388935770487
"41","Repro","USN14",96.8727272727273,2478.7221794728,0.0390817204424786
"42","Repro","USN15",56.7777777777778,2478.7221794728,0.0229060675891696
"43","Repro","USN16",28.38,2478.7221794728,0.0114494477174671
"44","Repro","USN17",396.964285714286,2478.7221794728,0.160148760922741
"45","Repro","USN18",272.732142857143,2478.7221794728,0.110029330884977
